Tipo de Solicitud,Nro. GEX,Fecha Vencimiento,Estado,Regional,Departamento,Tecnicos,Fecha de Solicitud,Fecha de Resolución,Fecha de Inscripción,Caudal,Volumen,Uso,Destino,Latitud,Longitud,Mes Inicio,Mes Final,Horas x Año,Id Solicitud,Sección y localidad catastral,Tipo de acuifero,profundidad,Diámetro,Caudal Ensayado,Nivel Estático,Nivel Dinámico,Accion Solicitud,Tipo Resolución,Número de Padrón,Dias_Demora,Es_Riego
Proyecto de Aprovechamiento,SGRH-00040200289-635.001,2011-03-27,Registrada,SALTO,SALTO,"Rodríguez, Jorge",2000-09-18,2001-03-27,,19.7,35460,Riego,Frutales,-31.31716746,-57.95376019,12.0,3.0,2160,237902,2.0,,55.0,0.15,19.7,20.0,37.5,Nueva,Autorización,4739,190.0,1
Proyecto de Aprovechamiento,SGRH-00040200324-595.001,2010-10-19,Registrada,FRAY BENTOS,PAYSANDÚ,"Rodríguez, Jorge",2000-03-10,2000-10-19,2000-10-25,9.0,16200,Riego,Otros,-32.34177153,-58.08282352,12.0,3.0,2160,237906,2.0,,53.0,0.15,9.0,25.0,29.0,Nueva,Autorización,5331,223.0,1
Proyecto de Aprovechamiento,SGRH-00040200325-596.001,2010-10-20,Registrada,FRAY BENTOS,PAYSANDÚ,"Rodríguez, Jorge",2000-03-10,2000-10-20,2000-10-27,25.0,16000,Riego,Hortalizas,-32.36978549,-57.87001899,12.0,3.0,2160,237907,2.0,,31.0,0.15,25.0,2.0,5.0,Nueva,Autorización,2048,224.0,1
Proyecto de Aprovechamiento,SGRH-00040200402-598.001,2010-10-19,Registrada,SAN JOSÉ,SAN JOSÉ,"Rodríguez, Jorge",2000-04-11,2000-10-19,2000-10-25,20.0,8000,Riego,Otros,-34.68004373,-56.73112873,12.0,3.0,2160,237914,6.0,,55.0,0.15,20.0,28.0,32.5,Nueva,Autorización,14232,191.0,1
Proyecto de Aprovechamiento,SGRH-00040200414-609.001,2010-10-10,Registrada,SAN JOSÉ,CANELONES,"Rodríguez, Jorge",2000-04-14,2000-10-10,2000-10-18,6.8,7000,Riego,Frutales,-34.5045261,-56.30396653,12.0,3.0,2160,237926,1.0,,64.0,0.15,6.8,3.9,22.3,Nueva,Autorización,19,179.0,1
Proyecto de Aprovechamiento,SGRH-00040200456-613.001,2010-09-19,Registrada,SAN JOSÉ,CANELONES,"Rodríguez, Jorge",2000-05-05,2000-09-15,2000-09-18,3.0,3500,Riego,Hortalizas,-34.52060124,-56.22510334,12.0,3.0,2160,237931,1.0,,50.0,0.15,3.0,8.45,29.0,Nueva,Autorización,17508,133.0,1
Proyecto de Aprovechamiento,SGRH-00040200634-617.001,2010-10-19,Registrada,FRAY BENTOS,PAYSANDÚ,"Rodríguez, Jorge",2000-07-12,2000-10-19,2000-10-25,18.0,22500,Riego,Hortalizas,-32.2973834,-57.80362401,12.0,3.0,2160,237941,1.0,,58.0,0.15,18.0,25.5,34.6,Nueva,Autorización,2008,99.0,1
Proyecto de Aprovechamiento,SGRH-00040200636-619.001,2010-10-27,Registrada,FRAY BENTOS,RÍO NEGRO,"Rodríguez, Jorge",2000-07-12,2000-10-27,2000-11-02,6.0,7500,Riego,Hortalizas,-32.96808761,-58.0426651,12.0,3.0,2160,237943,2.0,,53.0,0.2,6.0,15.0,41.05,Nueva,Autorización,2934,107.0,1
Proyecto de Aprovechamiento,SGRH-00040200637-621.001,2010-10-19,Registrada,FRAY BENTOS,PAYSANDÚ,"Rodríguez, Jorge",2000-07-12,2000-10-19,2000-10-25,12.8,14000,Riego,Frutales,-32.25813999,-58.02078585,12.0,3.0,2160,237944,2.0,,79.0,0.15,12.8,14.1,48.0,Nueva,Autorización,38,99.0,1
Proyecto de Aprovechamiento,SGRH-00040200638-620.001,2010-10-19,Registrada,SAN JOSÉ,CANELONES,"Rodríguez, Jorge",2000-07-12,2000-10-19,2000-10-25,15.0,7000,Riego,Frutales,-34.61540237,-56.2582963,12.0,3.0,2160,237945,17.0,,134.0,0.15,15.0,18.0,124.0,Nueva,Autorización,47083,99.0,1
Proyecto de Aprovechamiento,SGRH-00040200830-634.001,2011-03-27,Registrada,SALTO,SALTO,"Rodríguez, Jorge",2000-09-18,2001-03-27,2001-04-04,14.0,25200,Riego,Frutales,-31.31567434,-57.96212782,12.0,3.0,2160,237963,,,55.0,0.15,14.0,11.0,38.5,Nueva,Autorización,4739,190.0,1
